,"deklination ","stamme"
"Ἀβιληνή,9,false","1. (-η)","α-stamme"
"ἄβυσσος,12,false","2.","ο-stamme"
"Ἅγαβος,13,false","2.","ο-stamme"
"ἀγαθοποιΐα,16,false","1. (-ᾱ)","α-stamme"
"ἀγαθωσύνη,19,false","1. (-η)","α-stamme"
"ἀγαλλίασις,20,false","3.","ι-stamme"
"ἄγαμος,22,false","2.","ο-stamme"
"ἀγανάκτησις,24,false","3.","ι-stamme"
"ἀγάπη,26,false","1. (-η)","α-stamme"
"ἀγγεῖον,30,false","2.","ο-stamme"
"ἀγγελία,31,false","1. (-ᾱ)","α-stamme"
"ἄγγελος,32,false","2.","ο-stamme"
"ἄγγος,30,true","3.","ς-stamme"
"ἀγέλη,34,false","1. (-η)","α-stamme"
"ἁγιασμός,38,false","2.","ο-stamme"
"ἁγιότης,41,false","3.","τ-stamme"
"ἁγιωσύνη,42,false","1. (-η)","α-stamme"
"ἀγκάλη,43,false","1. (-η)","α-stamme"
"ἄγκιστρον,44,false","2.","ο-stamme"
"ἄγκυρα,45,false","1. (-ᾱ)","α-stamme"
"ἁγνεία,47,false","1. (-ᾱ)","α-stamme"
"ἁγνισμός,49,false","2.","ο-stamme"
"ἀγνόημα,51,false","3.","τ-stamme"
"ἄγνοια,52,false","1. (-ᾱ)","α-stamme"
"ἁγνότης,54,false","3.","τ-stamme"
"ἀγνωσία,56,false","1. (-ᾱ)","α-stamme"
"ἀγορά,58,false","1. (-ᾱ)","α-stamme"
"ἄγρα,61,false","1. (-ᾱ)","α-stamme"
"ἀγριέλαιος,65,false","2.","ο-stamme"
"Ἀγρίππας,67,false","1. (-ᾱ; dorisk genitiv)","α-stamme"
"ἀγρός,68,false","2.","ο-stamme"
"ἀγρυπνία,70,false","1. (-ᾱ)","α-stamme"
"ἀγωγή,72,false","1. (-η)","α-stamme"
"ἀγών,73,false","3.","ν-stamme"
"ἀγωνία,74,false","1. (-ᾱ)","α-stamme"
"ἀδελφή,79,false","1. (-η)","α-stamme"
"ἀδελφός,80,false","2.","ο-stamme"
"ἀδελφότης,81,false","3.","τ-stamme"
"ἀδηλότης,83,false","3.","τ-stamme"
"ᾅδης,86,false","1. (-η)","α-stamme"
"ἀδίκημα,92,false","3.","τ-stamme"
"ἀδικία,93,false","1. (-ᾱ)","α-stamme"
"Ἀδρίας,99,false","1. (-ᾱ)","α-stamme"
"ἁδρότης,100,false","3.","τ-stamme"
"ἀετός,105,false","2.","ο-stamme"
"Ἄζωτος,108,false","2.","ο-stamme"
"ἀήρ,109,false","3.","ρ-stamme"
"ἀθανασία,110,false","1. (-ᾱ)","α-stamme"
"ἀθέτησις,115,false","3.","ι-stamme"
"Ἀθῆναι,116,false","1. (-η)","α-stamme"
"ἄθλησις,119,false","3.","ι-stamme"
"αἰγιαλός,123,false","2.","ο-stamme"
"Αἴγυπτος,125,false","2.","ο-stamme"
"αἰδώς,127,false","3.","ω-stamme"
"Αἰθίοψ,128,false","3.","π-stamme"
"αἷμα,129,false","3.","τ-stamme"
