,"Kategori"
"ἀγαθοεργέω,14,false","ε-stamme"
"ἀγαθοποιέω,15,false","ε-stamme"
"ἀγαλλιάω,21,false","α-stamme"
"ἀγανακτέω,23,false","ε-stamme"
"ἀγαπάω,25,false","α-stamme"
"ἀγγαρεύω,29,false","ευ-stamme"
"ἀγγέλλω,518,true","λ-stamme"
"ἁγιάζω,37,false","ζ-stamme"
"ἁγνίζω,48,false","ζ-stamme"
"ἀγνοέω,50,false","ε-stamme"
"ἀγοράζω,59,false","ζ-stamme"
"ἀγραυλέω,63,false","ε-stamme"
"ἀγρεύω,64,false","ευ-stamme"
"ἀγρυπνέω,69,false","ε-stamme"
"ἄγω,71,false","γ-stamme"
"ἀγωνίζομαι,75,false","ζ-stamme"
"ἀδημονέω,85,false","ε-stamme"
"ἀδικέω,91,false","ε-stamme"
"ἀδυνατέω,101,false","ε-stamme"
"ᾄδω,103,false","δ-stamme"
"ἀθετέω,114,false","ε-stamme"
"ἀθλέω,118,false","ε-stamme"
"ἀθροίζω,4867,true","ζ-stamme"
"ἀθυμέω,120,false","ε-stamme"
"αἱμορροέω,131,false","ε-stamme"
"αἰνέω,134,false","ε-stamme"
"αἱρετίζω,140,false","ζ-stamme"
"αἱρέω,138,false","ε-stamme"
"αἴρω,142,false","ρ-stamme"
"αἰσθάνομαι,143,false","ν-stamme"
"αἰσχύνω,153,false","ν-stamme"
"αἰτέω,154,false","ε-stamme"
"αἰχμαλωτεύω,162,false","ευ-stamme"
"αἰχμαλωτίζω,163,false","ζ-stamme"
"ἀκαιρέομαι,170,false","ε-stamme"
"ἀκμάζω,187,false","ζ-stamme"
"ἀκολουθέω,190,false","ε-stamme"
"ἀκούω,191,false","υ-stamme"
"ἀκριβόω,198,false","ο-stamm"
"ἀκυρόω,208,false","ο-stamm"
"ἀλαλάζω,214,false","ζ-stamme"
"ἀλείφω,218,false","φ-stamme"
"ἀληθεύω,226,false","ευ-stamme"
"ἀλήθω,229,false","θ-stamme"
"ἁλιεύω,232,false","ευ-stamme"
"ἁλίζω,233,false","ζ-stamme"
"ἀλλάσσω,236,false","κ-stamme"
"ἀλληγορέω,238,false","ε-stamme"
"ἅλλομαι,242,false","λ-stamme"
"ἀλοάω,248,false","α-stamme"
"ἁμαρτάνω,264,false","ν-stamme"
"ἀμάω,270,false","α-stamme"
"ἀμελέω,272,false","ε-stamme"
"ἀμύνομαι,292,false","ν-stamme"
"ἀμφιβάλλω,906,true","λ-stamme"
"ἀμφιέζω,294,true","ζ-stamme"
"ἀμφιέννυμι,294,false","μι-verbum"
"ἀναβαίνω,305,false","ν-stamme"
"ἀναβάλλω,306,false","λ-stamme"
"ἀναβιβάζω,307,false","ζ-stamme"
"ἀναβλέπω,308,false","π-stamme"
"ἀναβοάω,310,false","α-stamme"
"ἀναγγέλλω,312,false","λ-stamme"
"ἀναγεννάω,313,false","α-stamme"
"ἀναγινώσκω,314,false","σκ-verbum"
"ἀναγκάζω,315,false","ζ-stamme"
"ἀνάγω,321,false","γ-stamme"
"ἀναδείκνυμι,322,false","μι-verbum"
"ἀναδέχομαι,324,false","χ-stamme"
"ἀναδίδωμι,325,false","μι-verbum"
"ἀναζάω,326,false","η-stamme"
"ἀναζητέω,327,false","ε-stamme"
"ἀναζώννυμι,328,false","μι-verbum"
"ἀναζωπυρέω,329,false","ε-stamme"
"ἀναθάλλω,330,false","λ-stamme"
"ἀναθεματίζω,332,false","ζ-stamme"
"ἀναθεωρέω,333,false","ε-stamme"
"ἀναιρέω,337,false","ε-stamme"
"ἀνακαθίζω,339,false","ζ-stamme"
"ἀνακαινίζω,340,false","ζ-stamme"
"ἀνακαινόω,341,false","ο-stamm"
"ἀνακαλύπτω,343,false","π-stamme"
"ἀνακάμπτω,344,false","π-stamme"
"ἀνάκειμαι,345,false","μι-verbum"
"ἀνακεφαλαιόω,346,false","ο-stamm"
"ἀνακλίνω,347,false","ν-stamme"
"ἀνακράζω,349,false","ζ-stamme"
"ἀνακρίνω,350,false","ν-stamme"
"ἀνακυλίω,617,true","ι-stamme"
"ἀνακύπτω,352,false","π-stamme"
"ἀναλαμβάνω,353,false","ν-stamme"
"ἀναλίσκω,355,false","σκ-verbum"
"ἀναλογίζομαι,357,false","ζ-stamme"
"ἀναλύω,360,false","υ-stamme"
"ἀναμένω,362,false","ν-stamme"
"ἀναμιμνῄσκω,363,false","σκ-verbum"
"ἀνανεόω,365,false","ο-stamm"
"ἀνανήφω,366,false","φ-stamme"
"ἀναπαύω,373,false","υ-stamme"
"ἀναπείθω,374,false","θ-stamme"
"ἀναπέμπω,375,false","π-stamme"
"ἀναπηδάω,1530,true","α-stamme"
"ἀναπίπτω,377,false","π-stamme"
"ἀναπληρόω,378,false","ο-stamm"
"ἀνάπτω,381,false","π-stamme"
"ἀνασείω,383,false","ι-stamme"
"ἀνασκευάζω,384,false","ζ-stamme"
"ἀνασπάω,385,false","α-stamme"
"ἀναστατόω,387,false","ο-stamm"
"ἀνασταυρόω,388,false","ο-stamm"
"ἀναστενάζω,389,false","ζ-stamme"
"ἀναστρέφω,390,false","φ-stamme"
"ἀνατάσσομαι,392,false","κ-stamme"
"ἀνατέλλω,393,false","λ-stamme"
"ἀνατίθημι,394,false","μι-verbum"
"ἀνατρέπω,396,false","π-stamme"
"ἀνατρέφω,397,false","φ-stamme"
"ἀναφαίνω,398,false","ν-stamme"
"ἀναφέρω,399,false","ρ-stamme"
"ἀναφωνέω,400,false","ε-stamme"
"ἀναχωρέω,402,false","ε-stamme"
"ἀναψύχω,404,false","χ-stamme"
"ἀνδρίζομαι,407,false","ζ-stamme"
"ἀνεμίζω,416,false","ζ-stamme"
"ἀνέρχομαι,424,false","χ-stamme"
"ἀνετάζω,426,false","ζ-stamme"
"ἀνευρίσκω,429,false","σκ-verbum"
"ἀνέχω,430,false","χ-stamme"
"ἀνήκω,433,false","κ-stamme"
"ἀνθίστημι,436,false","μι-verbum"
"ἀνθομολογέομαι,437,false","ε-stamme"
"ἀνίημι,447,false","μι-verbum"
"ἀνίστημι,450,false","μι-verbum"
"ἀνοίγω,455,false","γ-stamme"
"ἀνοικοδομέω,456,false","ε-stamme"
"ἀνορθόω,461,false","ο-stamm"
"ἀνταγωνίζομαι,464,false","ζ-stamme"
"ἀνταναπληρόω,466,false","ο-stamm"
"ἀνταποδίδωμι,467,false","μι-verbum"
"ἀνταποκρίνομαι,470,false","ν-stamme"
"ἀντέχω,472,false","χ-stamme"
"ἀντιβάλλω,474,false","λ-stamme"
"ἀντιδιατίθημι,475,false","μι-verbum"
"ἀντικαθίστημι,478,false","μι-verbum"
"ἀντικαλέω,479,false","ε-stamme"
"ἀντίκειμαι,480,false","μι-verbum"
"ἀντιλαμβάνω,482,false","ν-stamme"
"ἀντιλέγω,483,false","γ-stamme"
"ἀντιλοιδορέω,486,false","ε-stamme"
"ἀντιμετρέω,488,false","ε-stamme"
"ἀντιπαρέρχομαι,492,false","χ-stamme"
"ἀντιπίπτω,496,false","π-stamme"
"ἀντιστρατεύω,497,false","ευ-stamme"
"ἀντιτάσσω,498,false","κ-stamme"
"ἀντλέω,501,false","ε-stamme"
"ἀντοφθαλμέω,503,false","ε-stamme"
